File type;Contracts
Charset;ISO-8859-1
Decimal separator;Comma
Boolean format;Yes;No
Day pattern;dd/MM/yyyy
Timestamp pattern;dd/MM/yyyy HH:mm
Additional contract info;Not included
Contract type;Variable linear
Reference day;30/11/2024
Identifier;Description;Interest anchor date;Interest payment period;Principal anchor date;Principal payment period;Principal payment amount;Residual principal;Principal grace period end date;Maturity date;Prepayment allowed;Position;Initial principal;Outstanding principal;Start date;Day count convention;Accrued interest;Purchase date;Purchase relative price;Purchase relative price type;Business day convention;Discount curve;Credit spread curve;Group identifier;Planned position;Planned date;Currency;Book value definition;Custom amortized cost;Fair value accounting;Market value;Market value type;Excess operational deposits;Haircut;Retained;Minimum encumbrance;Counterparty;Counterparty LEI;Counterparty national code;Counterparty residence;Client start date;Discarded;Discarding cause;Last adjusted rate;Teaser spread;Teaser period end;Indexed curve;Indexed term;Interest rate floor;Interest rate cap;Reset anchor date;Reset period;Indexed rate scaling;Reset lag;Interest spread;Fuente de datos;Producto;Segmento negocio;Tipo tasa;Moneda original;C�digo de producto;C�digo de sub-producto;Producto comercial;Apartado;Epigrafe M1;Cuenta contable;C�digo DRC;Clave ISIN cobertura;C�digo clasificaci�n activo;Descripci�n tama�o empresa;Consolidado reservado;Consolidado p�blico;F8 Primario;F8 Secundario;F18 Primario;F18 Secundario 1;F18 Secundario 2;Persona f�sica/jur�dica;Segmento negocio cartera;Marca transaccional;Marca empleado;Epigrafe RI2;Transferencia cuentas vista;Moneda de tratamiento;Categoria RI3;Mes de reprecio;Sensible;C�digo DRC contable;C�digo tama�o empresa;C�d. segmento estrat�gico;Des. segmento estrat�gico;Edad;Segmento estrat�gico;Coste amort./Valor razon.;Cod. ranking insolvencia;Des. ranking insolvencia;Clasificacion F V_J;Opcion Comprada;Opcion Vendida;Operacional;FINREP;Macrosegmento;Des. macrosegmento
1014805_210342080510000894;;13/12/2024;1M;13/12/2024;1M;;;13/11/2024;13/02/2029;Yes;Long;25500;25500;13/02/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;25500;;;;;;;;;;;;;No;;4,15;0,5;14/02/2025;EURIBOR_SWAP;12M;0;;14/02/2025;12M;;;0,5;UG;PERSONALES AGRICOLAS;Banca Comercial;VAR;EUR;051;363;114145;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-02;Sensible;01030202;;F07;Adultos 3;58;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1015500_210343430513016920;;16/04/2025;6M;16/04/2025;6M;;;16/10/2024;16/10/2033;Yes;Long;36000;36000;16/10/2008;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;36000;;;;;;;;;;;;;No;;4,21;0;17/10/2025;EURIBOR_SWAP;12M;0;12,5;17/10/2025;12M;;;0;UG;PERSONALES GTIA HIP COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;051;542;112040;A;04.02.05.04.00 Prestamos personales;33552000009;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-10;Sensible;02030000;;F06;Adultos 2B;50;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;CAP;;;;
1016698_210322350514636391;;22/02/2025;6M;22/02/2025;6M;;;22/08/2024;22/08/2037;Yes;Long;43333,22;43333,22;22/08/2007;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;43333,22;;;;;;;;;;;;;No;;4,21;0,6;02/03/2025;EURIBOR_SWAP;12M;0;;02/03/2025;6M;;;0,6;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;051;542;112040;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-03;Sensible;02010100;;F04;Adultos 1B;52;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1019309_210322030510101196;;13/02/2025;6M;13/02/2025;6M;;;13/08/2024;13/02/2029;Yes;Long;36000;36000;13/02/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;36000;;;;;;;;;;;;;No;;4,154999999999999;0,5;14/02/2025;EURIBOR_SWAP;12M;0;;14/02/2025;12M;;;0,5;UG;PERSONALES AGRICOLAS;Banca Comercial;VAR;EUR;051;363;114145;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-02;Sensible;01030202;;F04;Adultos 1B;48;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1019885_210300035803122104800020231227;;10/01/2025;6M;10/01/2025;6M;;;10/07/2024;10/01/2028;Yes;Short;68031,25;68031,25;29/12/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;68031,25;;;;;;;;;;;;;No;;3,853;;;EURIBOR_SWAP;6M;;;10/01/2028;6M;;;0,17;UG;CUENTAS A PLAZO PASIVO ENTIDADES DE CREDITO;Servicios Centrales;VAR;EUR;052;999;;P;02.02.00.00.00 Cuentas a plazo;54693111004;;;;;;;160;180;;;;;;N;;P.1;Original;EUR;;;Sensible;;;;;;DESCONOCIDO;AMORTIZED_COST;;;VARIABLE;NO;NO;;2.4.1.3.2.2 Variable;;
1020534_210346340510002716;;14/02/2025;6M;14/08/2025;6M;;;14/02/2025;14/02/2029;Yes;Long;60000;60000;14/02/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;60000;;;;;;;;;;;;;No;;4,154999999999999;0,5;15/02/2025;EURIBOR_SWAP;12M;0;;15/02/2025;12M;;;0,5;UG;PERSONALES AGRICOLAS;Banca Comercial;VAR;EUR;051;363;114145;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-02;Sensible;01030202;;F04;Adultos 1B;54;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1022244_210343760513013218;;03/02/2025;6M;03/02/2025;6M;;;03/08/2024;03/08/2029;Yes;Long;10000;10000;05/06/2008;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;10000;;;;;;;;;;;;;No;;4,21;0;04/08/2025;EURIBOR_SWAP;12M;0;12,5;04/08/2025;12M;;;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;051;542;112040;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-08;Sensible;02010100;;F06;Adultos 2B;51;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;CAP;;;;
1023023_210300035803040107201220221127;;10/12/2024;6M;10/12/2024;6M;;;10/06/2024;10/12/2028;Yes;Short;12150;12150;01/12/2022;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;12150;;;;;;;;;;;;;No;;3,818;;;EURIBOR_SWAP;6M;;;10/12/2028;6M;;;0,07;UG;CUENTAS A PLAZO PASIVO ENTIDADES DE CREDITO;Servicios Centrales;VAR;EUR;052;999;;P;02.02.00.00.00 Cuentas a plazo;54693111004;;;;;;;160;180;;;;;;N;;P.1;Original;EUR;;;Sensible;;;;;;DESCONOCIDO;AMORTIZED_COST;;;VARIABLE;NO;NO;;2.4.1.3.2.2 Variable;;
1024698_210376370530000039;;21/12/2024;12M;21/12/2024;12M;;;21/12/2023;21/12/2026;Yes;Long;5250000;5250000;17/08/2018;Actual/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5250000;;;;;;;;;;;;;No;;3,705;0,06999999999999999;22/12/2024;EURIBOR_SWAP;12M;0;;22/12/2024;12M;;;0,06999999999999999;UG;OTROS PRESTAMOS SECTOR PUBLICO;Banca Empresas;VAR;EUR;053;201;111101;A;04.01.02.00.00 Administraciones Autonomicas;33651100000;03000000;;00;GRANDE;;;;;090;;;J;;N;N;A.2.1.3;Original;EUR;Activo general;2024-12;Sensible;;04;J06;Organismos P�blicos;;SECTOR_PUBLICO;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.2.1 Inversi�n crediticia;;
1027584_210343430513016913;;16/04/2025;6M;16/04/2025;6M;;;16/10/2024;16/10/2033;Yes;Long;35208;35208;16/10/2008;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;35208;;;;;;;;;;;;;No;;4,21;0;17/10/2025;EURIBOR_SWAP;12M;0;12,5;17/10/2025;12M;;;0;UG;PERSONALES GTIA HIP COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;051;542;112040;A;04.02.05.04.00 Prestamos personales;33552000009;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-10;Sensible;02030000;;F06;Adultos 2B;45;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;CAP;;;;
102892_210312285209200221;;22/03/2025;6M;22/03/2025;12M;;;22/03/2024;22/03/2029;Yes;Long;26600;26600;22/03/2004;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;26600;;;;;;;;;;;;;No;;5,1;1,5;23/03/2025;EURIBOR_SWAP;12M;3,5000000000000004;;23/03/2025;12M;;2M;1,5;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152040000;01030202;;02;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-03;Sensible;01030202;;F07;Adultos 3;48;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1030419_2103000356020821180000201806174;;15/01/2025;6M;15/01/2025;6M;;;15/07/2024;15/07/2033;Yes;Short;146099,96;146099,96;21/06/2018;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;146099,96;;;;;;;;;;;;;No;;3,885;;;EURIBOR_SWAP;6M;;;15/07/2033;6M;;;0,25;UG;CUENTAS A PLAZO PASIVO ENTIDADES DE CREDITO;Servicios Centrales;VAR;EUR;052;999;;P;02.02.00.00.00 Cuentas a plazo;54693111004;;;;;;;160;180;;;;;;N;;P.1;Original;EUR;;;Sensible;;;;;;DESCONOCIDO;AMORTIZED_COST;;;VARIABLE;NO;NO;;2.4.1.3.2.2 Variable;;
1030439_210300035803091103600020231001;;10/04/2025;6M;10/04/2025;6M;;;10/10/2024;10/10/2026;Yes;Short;8560;8560;05/10/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;8560;;;;;;;;;;;;;No;;3,085;;;EURIBOR_SWAP;6M;;;10/10/2026;6M;;;0,03;UG;CUENTAS A PLAZO PASIVO ENTIDADES DE CREDITO;Servicios Centrales;VAR;EUR;052;999;;P;02.02.00.00.00 Cuentas a plazo;54693111004;;;;;;;160;180;;;;;;N;;P.1;Original;EUR;;;Sensible;;;;;;DESCONOCIDO;AMORTIZED_COST;;;VARIABLE;NO;NO;;2.4.1.3.2.2 Variable;;
1031795_210300035502128118000020171112;;20/05/2025;6M;20/05/2025;6M;;;20/11/2024;20/11/2032;Yes;Short;83200;83200;16/11/2017;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;83200;;;;;;;;;;;;;No;;3,4610000000000003;;;EURIBOR_SWAP;6M;;;20/11/2032;6M;;;0,7;UG;CUENTAS A PLAZO PASIVO ENTIDADES DE CREDITO;Servicios Centrales;VAR;EUR;052;999;;P;02.02.00.00.00 Cuentas a plazo;54693111004;;;;;;;160;180;;;;;;N;;P.1;Original;EUR;;;Sensible;;;;;;DESCONOCIDO;AMORTIZED_COST;;;VARIABLE;NO;NO;;2.4.1.3.2.2 Variable;;
1035195_210342840502976000;;30/04/2025;6M;30/04/2025;6M;;;30/10/2024;30/04/2028;Yes;Long;9660;9660;30/04/2003;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;9660;;;;;;;;;;;;;No;;3,743;0,025;01/05/2025;EURIBOR_SWAP;12M;0;;01/05/2025;12M;;2M;0,025;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-05;Sensible;02010100;;F09;Seniors 2;66;SENIOR;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1039814_210322290515339353;;04/02/2025;6M;04/02/2025;6M;;;04/08/2024;04/02/2039;Yes;Long;48333,23;48333,23;29/10/2008;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;48333,23;;;;;;;;;;;;;No;;4,21;0,6;05/08/2025;EURIBOR_SWAP;12M;0;;05/08/2025;12M;;;0,6;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;051;542;112040;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-08;Sensible;02010100;;F07;Adultos 3;51;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1039923_210322350513015071;;08/02/2025;6M;08/02/2025;6M;;;08/08/2024;08/08/2037;Yes;Long;33800;33800;08/08/2007;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;33800;;;;;;;;;;;;;No;;4,21;0;09/08/2025;EURIBOR_SWAP;12M;0;12,5;09/08/2025;12M;;;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;051;542;112040;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-08;Sensible;02010100;;F04;Adultos 1B;45;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;CAP;;;;
1040747_210377620530000018;;19/12/2024;3M;19/12/2024;3M;;;19/09/2024;19/09/2026;Yes;Long;22000;22000;19/09/2016;Actual/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;22000;;;;;;;;;;;;;No;;4,205;0,75;20/12/2024;EURIBOR_SWAP;3M;0;;20/12/2024;3M;;;0,75;UG;OTROS PRESTAMOS SECTOR PUBLICO;Banca Comercial;VAR;EUR;053;201;111101;A;04.01.03.00.00 Administraciones Locales;33551210007;03000000;;00;GRANDE;;;;;090;;;J;;N;N;A.2.1.1;Original;EUR;Activo general;2024-12;Sensible;01030102;04;J06;Organismos P�blicos;;SECTOR_PUBLICO;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.2.1 Inversi�n crediticia;;
1041672_210373410530000018;;21/01/2025;3M;21/01/2025;3M;;;21/10/2024;21/10/2030;Yes;Long;507636;507636;21/10/2020;Actual/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;507636;;;;;;;;;;;;;No;;3,5680000000000005;0,43;22/01/2025;EURIBOR_SWAP;3M;0;;22/01/2025;3M;;;0,43;UG;OTROS PRESTAMOS SECTOR PUBLICO;Banca Comercial;VAR;EUR;053;201;111101;A;04.01.03.00.00 Administraciones Locales;33551110006;03000000;;00;GRANDE;;;;;090;;;J;;N;N;A.2.1.1;Original;EUR;Activo general;2025-01;Sensible;;04;J06;Organismos P�blicos;;SECTOR_PUBLICO;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.2.1 Inversi�n crediticia;;
1044153_210370490500086068;;10/01/2025;3M;10/01/2025;3M;;;10/10/2024;10/01/2033;Yes;Long;38852,29;38852,29;10/01/2023;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;38852,29;;;;;;;;;;;;;No;;3,916;0,75;11/01/2025;EURIBOR_SWAP;12M;0;;11/01/2025;3M;;2M;0,75;UG;PERSONALES GTIA HIP COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.05.04.00 Prestamos personales;33552000009;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-01;Sensible;02030000;;F06;Adultos 2B;64;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1045268_210350320500040397;;05/01/2025;6M;05/01/2025;6M;;;05/07/2024;05/01/2033;Yes;Long;170000;170000;05/01/2021;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;170000;;;;;;;;;;;;;No;;5,622;1,6;06/01/2025;EURIBOR_SWAP;12M;0;;06/01/2025;12M;;2M;1,6;UG;HIPOTECARIOS AGRICOLAS;Banca Comercial;VAR;EUR;050;264;114200;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-01;Sensible;01030201;;F06;Adultos 2B;47;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
1045728_210326530506970723;;06/02/2025;3M;06/05/2025;12M;;;06/05/2024;06/05/2030;Yes;Long;10800;10800;06/05/2015;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;10800;;;;;;;;;;;;;No;;7,718;4;07/05/2025;EURIBOR_SWAP;12M;0;;07/05/2025;12M;;2M;4;UG;HIPOTECARIOS FINANCIACION EMPRESAS;Banca Comercial;VAR;EUR;050;210;113200;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;170;;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-05;Sensible;02010300;;F07;Adultos 3;58;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
