File type;Contracts
Charset;ISO-8859-1
Decimal separator;Comma
Boolean format;Yes;No
Day pattern;dd/MM/yyyy
Timestamp pattern;dd/MM/yyyy HH:mm
Additional contract info;Included
Contract type;Variable bullet
Reference day;30/11/2024
;Identifier;Description;Payment anchor date;Payment period;Maturity date;Prepayment allowed;Position;Initial principal;Outstanding principal;Start date;Day count convention;Accrued interest;Purchase date;Purchase relative price;Purchase relative price type;Business day convention;Discount curve;Credit spread curve;Group identifier;Planned position;Planned date;Currency;Book value definition;Custom amortized cost;Fair value accounting;Market value;Market value type;Excess operational deposits;Haircut;Retained;Minimum encumbrance;Counterparty;Counterparty LEI;Counterparty national code;Counterparty residence;Client start date;Discarded;Discarding cause;Last adjusted rate;Teaser spread;Teaser period end;Indexed curve;Indexed term;Interest rate floor;Interest rate cap;Reset anchor date;Reset period;Indexed rate scaling;Reset lag;Interest spread;Fuente de datos;Producto;Segmento negocio;Tipo tasa;Moneda original;C�digo de producto;C�digo de sub-producto;Producto comercial;Apartado;Epigrafe M1;Cuenta contable;C�digo DRC;Clave ISIN cobertura;C�digo clasificaci�n activo;Descripci�n tama�o empresa;Consolidado reservado;Consolidado p�blico;F8 Primario;F8 Secundario;F18 Primario;F18 Secundario 1;F18 Secundario 2;Persona f�sica/jur�dica;Segmento negocio cartera;Marca transaccional;Marca empleado;Epigrafe RI2;Transferencia cuentas vista;Moneda de tratamiento;Categoria RI3;Mes de reprecio;Sensible;C�digo DRC contable;C�digo tama�o empresa;C�d. segmento estrat�gico;Des. segmento estrat�gico;Edad;Segmento estrat�gico;Coste amort./Valor razon.;Cod. ranking insolvencia;Des. ranking insolvencia;Clasificacion F V_J;Opcion Comprada;Opcion Vendida;Operacional;FINREP;Macrosegmento;Des. macrosegmento
contract;1011155_210347710550102616;;22/02/2025;3M;22/08/2025;Yes;Long;25426,85;25426,85;23/08/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;25426,85;;;;;;;;;;;;;No;;4,6;1,6;22/02/2025;EURIBOR_SWAP;3M;0;;22/02/2025;3M;;;1,6;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131002;A;04.02.05.05.00 Cuentas de credito;32662000001;01030202;;02;PYME - PEQUE�A;;;;;120;130;;J;;N;N;A.2.1.1;Original;EUR;Activo general;2025-02;Sensible;01030202;02;J03;Peque�as empresas;;PEQUE�AS EMPRESAS;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.5.1.1 Inversi�n crediticia;;
contract;1011362_210322210550100707;;30/11/2024;3M;28/02/2025;Yes;Long;3000;3000;01/03/2021;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;3000;;;;;;;;;;;;;No;;6,162;3,25;28/02/2025;EURIBOR_SWAP;3M;0;;28/02/2025;3M;;;3,25;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131026;A;04.02.05.05.00 Cuentas de credito;32662000001;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.1;Original;EUR;Activo general;2025-02;Sensible;01030202;;F04;Adultos 1B;64;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1012563_210382010540073953;;31/12/2024;6M;31/10/2032;Yes;Long;1185486,67;1185486,67;28/11/2024;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1185486,67;;;;;;;;;;;;;No;;4,9441;1,8499999999999999;01/01/2025;EURIBOR_SWAP;6M;0;;01/01/2025;6M;;;1,8499999999999999;UG;PERSONALES SINDICADOS;Banca Corporativa;VAR;EUR;054;001;181000;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;PYME - MEDIANA;;;;;120;130;;J;;N;N;A.2.1.2;Original;EUR;Activo general;2025-01;Sensible;01030202;03;J02;Medianas empresas;;MEDIANAS EMPRESAS;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.5.1.1 Inversi�n crediticia;;
contract;1013382_210304700550003761;;14/01/2025;3M;14/01/2025;Yes;Long;18700,45;18700,45;15/01/2021;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;18700,45;;;;;;;;;;;;;No;;6,178999999999999;3;14/01/2025;EURIBOR_SWAP;3M;0;;14/01/2025;3M;;;3;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131026;A;04.02.05.05.00 Cuentas de credito;32662000001;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.1;Original;EUR;Activo general;2025-01;Sensible;01030202;;F03;Adultos 1A;39;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;101384_210373970550004015;;17/12/2024;3M;17/06/2025;Yes;Long;68136,37;68136,37;18/06/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;68136,37;;;;;;;;;;;;;No;;4,588;1,0999999999999999;17/12/2024;EURIBOR_SWAP;3M;0;;17/12/2024;3M;;;1,0999999999999999;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Empresas;VAR;EUR;055;000;131002;A;04.02.05.05.00 Cuentas de credito;32662110002;01030202;;02;PYME - MEDIANA;;;;;120;130;;J;;N;N;A.2.1.1;Original;EUR;Activo general;2024-12;Sensible;01030202;03;J02;Medianas empresas;;MEDIANAS EMPRESAS;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.5.1.1 Inversi�n crediticia;;
contract;1016993_210307440550002968;;08/02/2025;3M;08/11/2027;Yes;Long;35449,64;35449,64;09/11/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;35449,64;;;;;;;;;;;;;No;;6,299;3,25;08/02/2025;EURIBOR_SWAP;3M;0;;08/02/2025;3M;;;3,25;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131026;A;04.02.05.05.00 Cuentas de credito;32662110002;01030202;;02;PYME - MICROEMPRESA;;;;;120;130;;J;;S;N;A.2.1.1;Original;EUR;Activo general;2025-02;Sensible;01030202;01;J04;Microempresas;;MICROEMPRESAS;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.5.1.1 Inversi�n crediticia;;
contract;1017872_210374080550001612;;11/12/2024;3M;11/12/2024;Yes;Long;94288,85;94288,85;12/12/2023;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;94288,85;;;;;;;;;;;;;No;;4,46;1;11/12/2024;EURIBOR_SWAP;3M;0;;11/12/2024;3M;;;1;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Empresas;VAR;EUR;055;000;131002;A;04.02.05.05.00 Cuentas de credito;32662000001;01030202;;02;PYME - MEDIANA;;;;;120;130;;J;;S;N;A.2.1.1;Original;EUR;Activo general;2024-12;Sensible;01030202;03;J02;Medianas empresas;;MEDIANAS EMPRESAS;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.5.1.1 Inversi�n crediticia;;
contract;1018946_210350300550006662;;04/02/2025;3M;04/08/2025;Yes;Long;9925,68;9925,68;05/08/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;9925,68;;;;;;;;;;;;;No;;6,085;3;04/02/2025;EURIBOR_SWAP;3M;0;;04/02/2025;3M;;;3;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131002;A;04.02.05.05.00 Cuentas de credito;32662000001;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.1;Original;EUR;Activo general;2025-02;Sensible;01030202;;F03;Adultos 1A;42;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1019975_210345060550100503;;27/02/2025;3M;27/05/2026;Yes;Long;30000;30000;28/05/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;30000;;;;;;;;;;;;;No;;5,148;2,25;27/02/2025;EURIBOR_SWAP;3M;0;;27/02/2025;3M;;;2,25;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131026;A;04.02.05.05.00 Cuentas de credito;32662110002;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.1;Original;EUR;Activo general;2025-02;Sensible;01030202;;F03;Adultos 1A;32;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1021036_210342070550100462;;20/01/2025;3M;20/01/2025;Yes;Long;21525,99;21525,99;21/01/2021;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;21525,99;;;;;;;;;;;;;No;;5,819;2,6;20/01/2025;EURIBOR_SWAP;3M;0;;20/01/2025;3M;;;2,6;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131026;A;04.02.05.05.00 Cuentas de credito;32662110002;01030202;;02;PYME - PEQUE�A;;;;;120;130;;J;;N;N;A.2.1.1;Original;EUR;Activo general;2025-01;Sensible;01030202;02;J03;Peque�as empresas;;PEQUE�AS EMPRESAS;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.5.1.1 Inversi�n crediticia;;
contract;1021962_210322240550000144;;02/12/2024;3M;02/06/2027;Yes;Long;47159,48;47159,48;03/06/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;47159,48;;;;;;;;;;;;;No;;5,24;1,7500000000000002;02/12/2024;EURIBOR_SWAP;3M;0;;02/12/2024;3M;;;1,7500000000000002;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131026;A;04.02.05.05.00 Cuentas de credito;32662110002;01030202;;02;PYME - MICROEMPRESA;;;;;120;130;;J;;S;N;A.2.1.1;Original;EUR;Activo general;2024-12;Sensible;01030202;01;J04;Microempresas;;MICROEMPRESAS;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.5.1.1 Inversi�n crediticia;;
contract;1023254_210342140550100436;;21/01/2025;3M;21/04/2025;Yes;Long;26329,82;26329,82;22/04/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;26329,82;;;;;;;;;;;;;No;;6,151;2,9499999999999997;21/01/2025;EURIBOR_SWAP;3M;0;;21/01/2025;3M;;;2,9499999999999997;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131002;A;04.02.05.05.00 Cuentas de credito;32662000001;01030202;;02;PYME - MICROEMPRESA;;;;;120;130;;J;;S;N;A.2.1.1;Original;EUR;Activo general;2025-01;Sensible;01030202;01;J04;Microempresas;;MICROEMPRESAS;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.5.1.1 Inversi�n crediticia;;
contract;1023280_210320230550001681;;12/02/2025;3M;12/05/2025;Yes;Long;39909,09;39909,09;13/05/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;39909,09;;;;;;;;;;;;;No;;6,54;3,5000000000000004;12/02/2025;EURIBOR_SWAP;3M;0;;12/02/2025;3M;;;3,5000000000000004;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131002;A;04.02.05.05.00 Cuentas de credito;32662110002;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.1;Original;EUR;Activo general;2025-02;Sensible;01030202;;F04;Adultos 1B;51;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1025342_210307440550002398;;23/01/2025;3M;23/04/2025;Yes;Long;49579,94;49579,94;24/04/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;49579,94;;;;;;;;;;;;;No;;4,848;1,7500000000000002;23/01/2025;EURIBOR_SWAP;3M;0;;23/01/2025;3M;;;1,7500000000000002;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131201;A;04.02.05.05.00 Cuentas de credito;32662110002;01030202;;02;PYME - MICROEMPRESA;;;;;120;130;;J;;N;N;A.2.1.1;Original;EUR;Activo general;2025-01;Sensible;01030202;01;J04;Microempresas;;MICROEMPRESAS;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.5.1.1 Inversi�n crediticia;;
contract;1025453_210322230550103178;;28/01/2025;3M;28/01/2027;Yes;Long;4978,62;4978,62;29/01/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;4978,62;;;;;;;;;;;;;No;;5,559;2,5;28/01/2025;EURIBOR_SWAP;3M;0;;28/01/2025;3M;;;2,5;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131100;A;04.02.05.05.00 Cuentas de credito;32662000001;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.1;Original;EUR;Activo general;2025-01;Sensible;01030202;;F03;Adultos 1A;39;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1025756_210302890550001247;;28/01/2025;3M;28/01/2025;Yes;Long;9804,01;9804,01;29/07/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;9804,01;;;;;;;;;;;;;No;;6,558999999999999;3,5000000000000004;28/01/2025;EURIBOR_SWAP;3M;0;;28/01/2025;3M;;;3,5000000000000004;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131002;A;04.02.05.05.00 Cuentas de credito;32662110002;01030202;;02;;;;;;170;;;F;;S;N;A.2.1.1;Original;EUR;Activo general;2025-01;Sensible;01030202;;F04;Adultos 1B;60;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1026231_210342000550100619;;29/11/2024;3M;29/08/2025;Yes;Long;115443,17;115443,17;30/08/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;115443,17;;;;;;;;;;;;;No;;4,362;1,4500000000000002;27/02/2025;EURIBOR_SWAP;3M;0;;27/02/2025;3M;;;1,4500000000000002;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131002;A;04.02.05.05.00 Cuentas de credito;32662000001;01030202;;02;PYME - PEQUE�A;;;;;170;;;J;;S;N;A.2.1.1;Original;EUR;Activo general;2025-02;Sensible;01030202;02;J08;Otras empresas y asociaciones sin �nimo de lucro;;RESTO DE EMPRESAS / SIN_ANIMO_DE_LUCRO ;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1026254_210301350550002858;;23/12/2024;3M;23/06/2025;Yes;Long;40000;40000;24/06/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;40000;;;;;;;;;;;;;No;;6,686;3,25;23/12/2024;EURIBOR_SWAP;3M;0;;23/12/2024;3M;;;3,25;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131013;A;04.02.05.05.00 Cuentas de credito;32662000001;01030202;;02;PYME - MICROEMPRESA;;;;;120;130;;J;;N;N;A.2.1.1;Original;EUR;Activo general;2024-12;Sensible;01030202;01;J04;Microempresas;;MICROEMPRESAS;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.5.1.1 Inversi�n crediticia;;
contract;1027634_210310630550002530;;28/01/2025;3M;28/04/2027;Yes;Long;298677,02;298677,02;29/04/2020;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;298677,02;;;;;;;;;;;;;No;;4,559;1,5;28/01/2025;EURIBOR_SWAP;3M;0;;28/01/2025;3M;;;1,5;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Empresas;VAR;EUR;055;000;131026;A;04.02.05.05.00 Cuentas de credito;32662110002;01030202;;02;PYME - MEDIANA;;;;;120;130;;J;;N;N;A.2.1.1;Original;EUR;Activo general;2025-01;Sensible;01030202;03;J02;Medianas empresas;;MEDIANAS EMPRESAS;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;1.8.2.5.1.1 Inversi�n crediticia;;
contract;1028236_210372060550002704;;26/12/2024;3M;26/12/2024;Yes;Long;5985,29;5985,29;27/12/2023;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5985,29;;;;;;;;;;;;;No;;6,601999999999999;3,25;26/12/2024;EURIBOR_SWAP;3M;0;;26/12/2024;3M;;;3,25;BG;CREDITOS SECTOR PRIVADO GTIA PERSONAL OTROS;Banca Comercial;VAR;EUR;055;000;131002;A;04.02.05.05.00 Cuentas de credito;32662000001;01030202;;02;;;;;;170;;;F;;N;N;A.2.1.1;Original;EUR;Activo general;2024-12;Sensible;01030202;;F04;Adultos 1B;60;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
