File type;Contracts
Charset;ISO-8859-1
Decimal separator;Comma
Boolean format;Yes;No
Day pattern;dd/MM/yyyy
Timestamp pattern;dd/MM/yyyy HH:mm
Additional contract info;Not included
Contract type;Fixed annuity
Reference day;30/11/2024
Identifier;Description;Payment anchor date;Payment period;Current payment;Principal payments rate;Residual principal;Principal grace period end date;Maturity date;Prepayment allowed;Position;Initial principal;Outstanding principal;Start date;Day count convention;Accrued interest;Purchase date;Purchase relative price;Purchase relative price type;Business day convention;Discount curve;Credit spread curve;Group identifier;Planned position;Planned date;Currency;Book value definition;Custom amortized cost;Fair value accounting;Market value;Market value type;Excess operational deposits;Haircut;Retained;Minimum encumbrance;Counterparty;Counterparty LEI;Counterparty national code;Counterparty residence;Client start date;Discarded;Discarding cause;Indexed rate;Comision cancelacion RI3;Interest spread;Fuente de datos;Producto;Segmento negocio;Tipo tasa;Moneda original;Código de producto;Código de sub-producto;Producto comercial;Apartado;Epigrafe M1;Cuenta contable;Código DRC;Clave ISIN cobertura;Código clasificación activo;Descripción tamaño empresa;Consolidado reservado;Consolidado público;F8 Primario;F8 Secundario;F18 Primario;F18 Secundario 1;F18 Secundario 2;Persona física/jurídica;Segmento negocio cartera;Marca transaccional;Marca empleado;Epigrafe RI2;Transferencia cuentas vista;Moneda de tratamiento;Categoria RI3;Mes de reprecio;Sensible;Código DRC contable;Código tamaño empresa;Cód. segmento estratégico;Des. segmento estratégico;Edad;Segmento estratégico;Coste amort./Valor razon.;Cod. ranking insolvencia;Des. ranking insolvencia;Clasificacion F V_J;Opcion Comprada;Opcion Vendida;Operacional;FINREP;Macrosegmento;Des. macrosegmento
1000154_210306220500171714;;28/12/2024;1M;;;;28/11/2024;28/01/2026;Yes;Long;2922,19;2922,19;28/01/2021;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;2922,19;;;;;;;;;;;;;No;;6,950000000000001;1,5;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;075;111009;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;33;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000170_210370050500274106;;04/12/2024;1M;;;;04/11/2024;04/04/2025;Yes;Long;940,41;940,41;04/04/2019;Actual/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;940,41;;;;;;;;;;;;;No;;4,35;1;0;UG;PERSONALES FINANCIACION EMPRESAS;Banca Comercial;FIX;EUR;050;209;113105;A;04.02.05.04.00 Prestamos personales;33552000009;01030202;;02;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030202;;F04;Adultos 1B;59;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000182_210378420500224961;;23/12/2024;1M;;;;23/11/2024;23/12/2044;Yes;Long;118416,31;118416,31;23/12/2020;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;118416,31;;;;;;;;;;;;;No;;1,35;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F03;Adultos 1A;39;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000185_210370270500142734;;04/12/2024;1M;;;;04/11/2024;04/06/2040;Yes;Long;31948,45;31948,45;04/06/2020;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;31948,45;;;;;;;;;;;;;No;;2,19;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F07;Adultos 3;58;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000201_210371950500035017;;30/11/2024;1M;;;;30/10/2024;30/12/2034;Yes;Long;275340,52;275340,52;30/12/2019;Actual/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;275340,52;;;;;;;;;;;;;No;;0,64;1;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Empresas;FIX;EUR;050;494;112046;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;01030202;;02;PYME - MEDIANA;;;;;120;130;140;J;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;01030201;03;J02;Medianas empresas;;MEDIANAS EMPRESAS;AMORTIZED_COST;;;FIJO;NO;NO;;1.8.2.5.1.1 Inversión crediticia;;
1000206_210375530500005135;;08/12/2024;1M;;;;08/11/2024;08/06/2036;Yes;Long;66563,33;66563,33;08/06/2006;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;66563,33;;;;;;;;;;;;;No;;3,75;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F06;Adultos 2B;64;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000212_210353910500136958;;15/12/2024;1M;;;;15/11/2024;15/02/2031;Yes;Long;33276,94;33276,94;15/02/2023;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;33276,94;;;;;;;;;;;;;No;;7,95;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;021;111006;A;04.02.05.04.00 Prestamos personales;33552200000;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F09;Seniors 2;65;SENIOR;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000228_210374420500018830;;26/12/2024;1M;;;;26/11/2024;26/09/2032;Yes;Long;5716,57;5716,57;26/09/2024;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5716,57;;;;;;;;;;;;;No;;8,95;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;027;111062;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;30;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000242_210370380500165662;;18/12/2024;1M;;;;18/11/2024;18/05/2043;Yes;Long;74723,49;74723,49;18/05/2021;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;74723,49;;;;;;;;;;;;;No;;1,05;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010200;;F04;Adultos 1B;54;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000257_210371990500043166;;02/12/2024;1M;;;;02/11/2024;02/05/2028;Yes;Long;9891,04;9891,04;02/12/2021;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;9891,04;;;;;;;;;;;;;No;;5,5;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;021;111006;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F05;Adultos 2A;39;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000264_210399170500107415;;30/11/2024;1M;;;;30/10/2024;30/04/2025;Yes;Long;826,4;826,4;12/06/2024;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;826,4;;;;;;;;;;;;;No;;0;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;067;111117;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;59;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000267_210373210500015713;;29/12/2024;1M;;;;29/11/2024;29/06/2033;Yes;Long;36319,14;36319,14;29/06/2018;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;36319,14;;;;;;;;;;;;;No;;1,7500000000000002;0;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F09;Seniors 2;65;SENIOR;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000287_210308790500022449;;26/12/2024;1M;;;;26/11/2024;26/08/2029;Yes;Long;19292,58;19292,58;26/08/2024;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;19292,58;;;;;;;;;;;;;No;;7,75;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;919;111020;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F02;Jóvenes;19;JOVENES;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000289_210370220500071360;;20/12/2024;1M;;;;20/12/2024;20/12/2052;Yes;Long;138704,2;138704,2;20/12/2022;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;138704,2;;;;;;;;;;;;;No;;2,1;3;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;484;112030;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F05;Adultos 2A;35;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000298_210370970500028131;;07/12/2024;1M;;;;07/11/2024;07/10/2043;Yes;Long;173439,22;173439,22;07/10/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;173439,22;;;;;;;;;;;;;No;;2,97;3;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;112;112032;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F07;Adultos 3;55;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
100029_210370080500150219;;12/12/2024;1M;;;;12/11/2024;12/09/2042;Yes;Long;89846,73;89846,73;12/09/2022;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;89846,73;;;;;;;;;;;;;No;;1,6500000000000001;3;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;438;112058;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F03;Adultos 1A;36;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000318_210373670500009477;;18/12/2024;1M;;;;18/11/2024;18/12/2029;Yes;Long;8559,68;8559,68;18/03/2022;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;8559,68;;;;;;;;;;;;;No;;6,800000000000001;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;021;111006;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F09;Seniors 2;69;SENIOR;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000326_210303710500047817;;14/12/2024;1M;;;;14/11/2024;14/09/2028;Yes;Long;13425,86;13425,86;14/09/2022;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;13425,86;;;;;;;;;;;;;No;;4,75;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;141;111089;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F02;Jóvenes;27;JOVENES;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000354_210340040500060139;;11/12/2024;1M;;;;11/11/2024;11/02/2027;Yes;Long;2550,3;2550,3;11/02/2021;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;2550,3;;;;;;;;;;;;;No;;6,950000000000001;1,5;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;075;111009;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F06;Adultos 2B;46;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000434_210370020500239185;;07/12/2024;1M;;;;07/11/2024;07/08/2031;Yes;Long;9394;9394;07/08/2023;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;9394;;;;;;;;;;;;;No;;8,95;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;029;111063;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;31;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000447_210377430500009089;;08/12/2024;1M;;;;08/11/2024;08/07/2026;Yes;Long;4301,67;4301,67;08/04/2021;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;4301,67;;;;;;;;;;;;;No;;7,95;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;155;111111;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;50;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000476_210322170500140256;;19/12/2024;1M;;;;19/11/2024;19/09/2025;Yes;Long;839,51;839,51;19/09/2024;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;839,51;;;;;;;;;;;;;No;;8,95;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;029;111063;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F02;Jóvenes;27;JOVENES;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000484_210371890500015705;;10/12/2024;1M;;;;10/11/2024;10/10/2025;Yes;Long;3489,17;3489,17;24/09/2019;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;3489,17;;;;;;;;;;;;;No;;5,4;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;147;111047;A;04.02.05.04.00 Prestamos personales;33552200000;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;49;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000486_210307480500010834;;11/12/2024;1M;;;;11/11/2024;11/10/2047;Yes;Long;157112,25;157112,25;11/10/2022;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;157112,25;;;;;;;;;;;;;No;;1,9;3;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;438;112058;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F04;Adultos 1B;46;ADULTOS_B;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000490_210307280500035704;;27/12/2024;1M;;;;27/11/2024;27/10/2053;Yes;Long;69530,83;69530,83;27/10/2023;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;69530,83;;;;;;;;;;;;;No;;3,85;0,5;0;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;FIX;EUR;050;478;112160;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02010100;;F07;Adultos 3;33;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000503_210330240500044566;;19/12/2024;1M;;;;19/11/2024;19/03/2030;Yes;Long;15169,49;15169,49;19/03/2022;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;15169,49;;;;;;;;;;;;;No;;6,5;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;919;111020;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F07;Adultos 3;40;ADULTOS_A;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000550_210374240500024996;;12/12/2024;1M;;;;12/11/2024;12/03/2029;Yes;Long;22197,58;22197,58;12/03/2024;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;22197,58;;;;;;;;;;;;;No;;7,75;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;913;111018;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;170;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F09;Seniors 2;69;SENIOR;AMORTIZED_COST;;;FIJO;NO;NO;;;;
1000552_210373280500016181;;21/12/2024;1M;;;;21/11/2024;21/11/2032;Yes;Long;15000;15000;21/11/2024;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;15000;;;;;;;;;;;;;No;;6,49;0;0;UG;PERSONALES FINANCIACION ECONOMIA DOMESTICA;Banca Comercial;FIX;EUR;050;021;111006;A;04.02.05.04.00 Prestamos personales;33552000009;02030000;;05;;;;;;170;;;F;;N;N;A.2.2;Original;EUR;Activo general;;Sensible;02030000;;F02;Jóvenes;24;JOVENES;AMORTIZED_COST;;;FIJO;NO;NO;;;;
