File type;Contracts
Charset;ISO-8859-1
Decimal separator;Comma
Boolean format;Yes;No
Day pattern;dd/MM/yyyy
Timestamp pattern;dd/MM/yyyy HH:mm
Additional contract info;Included
Contract type;Variable annuity
Reference day;30/11/2024
;Identifier;Description;Payment anchor date;Payment period;Current payment;Principal payments rate;Residual principal;Principal grace period end date;Maturity date;Prepayment allowed;Position;Initial principal;Outstanding principal;Start date;Day count convention;Accrued interest;Purchase date;Purchase relative price;Purchase relative price type;Business day convention;Discount curve;Credit spread curve;Group identifier;Planned position;Planned date;Currency;Book value definition;Custom amortized cost;Fair value accounting;Market value;Market value type;Excess operational deposits;Haircut;Retained;Minimum encumbrance;Counterparty;Counterparty LEI;Counterparty national code;Counterparty residence;Client start date;Discarded;Discarding cause;Last adjusted rate;Teaser spread;Teaser period end;Indexed curve;Indexed term;Interest rate floor;Interest rate cap;Reset anchor date;Reset period;Indexed rate scaling;Reset lag;Interest spread;Fuente de datos;Producto;Segmento negocio;Tipo tasa;Moneda original;C�digo de producto;C�digo de sub-producto;Producto comercial;Apartado;Epigrafe M1;Cuenta contable;C�digo DRC;Clave ISIN cobertura;C�digo clasificaci�n activo;Descripci�n tama�o empresa;Consolidado reservado;Consolidado p�blico;F8 Primario;F8 Secundario;F18 Primario;F18 Secundario 1;F18 Secundario 2;Persona f�sica/jur�dica;Segmento negocio cartera;Marca transaccional;Marca empleado;Epigrafe RI2;Transferencia cuentas vista;Moneda de tratamiento;Categoria RI3;Mes de reprecio;Sensible;C�digo DRC contable;C�digo tama�o empresa;C�d. segmento estrat�gico;Des. segmento estrat�gico;Edad;Segmento estrat�gico;Coste amort./Valor razon.;Cod. ranking insolvencia;Des. ranking insolvencia;Clasificacion F V_J;Opcion Comprada;Opcion Vendida;Operacional;FINREP;Macrosegmento;Des. macrosegmento
contract;1000263_210340070500015926;;02/12/2024;1M;;;;02/11/2024;02/12/2046;Yes;Long;81809,11;81809,11;02/12/2016;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;81809,11;;;;;;;;;;;;;No;;5,510000000000001;1,35;03/12/2024;EURIBOR_SWAP;12M;0;;03/12/2024;12M;;2M;1,35;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;476;112004;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2024-12;Sensible;02010100;;F03;Adultos 1A;37;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000266_210370260500118922;;16/12/2024;1M;;;;16/11/2024;16/12/2026;Yes;Long;1887,92;1887,92;16/11/2006;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;1887,92;;;;;;;;;;;;;No;;3,936;1;17/11/2025;EURIBOR_SWAP;12M;0;;17/11/2025;12M;;2M;1;UG;PERSONALES GTIA HIP COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.05.04.00 Prestamos personales;33552000009;02010300;;04;;;;;;160;160;170;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-11;Sensible;02030000;;F04;Adultos 1B;64;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000274_210322480500121458;;15/12/2024;1M;;;;15/11/2024;15/01/2051;Yes;Long;117930,08;117930,08;15/01/2021;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;117930,08;;;;;;;;;;;;;No;;4,872;0,8500000000000001;16/01/2025;EURIBOR_SWAP;12M;0;;16/01/2025;12M;;2M;0,8500000000000001;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;460;112003;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-01;Sensible;02010100;;F07;Adultos 3;44;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000295_210372070500049222;;29/12/2024;1M;;;;29/11/2024;28/02/2037;Yes;Long;49875,75;49875,75;29/02/2012;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;49875,75;;;;;;;;;;;;;No;;4,929;1,25;01/03/2025;EURIBOR_SWAP;12M;0;;01/03/2025;12M;;2M;1,25;UG;HIPOTECARIOS SUBROGACIONES;Banca Comercial;VAR;EUR;051;984;112027;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-03;Sensible;02010100;;F07;Adultos 3;40;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000320_210323630503616535;;06/12/2024;1M;;;;06/11/2024;06/04/2030;Yes;Long;36277,38;36277,38;06/04/2005;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;36277,38;;;;;;;;;;;;;No;;4,271;0,6;07/04/2025;EURIBOR_SWAP;12M;0;;07/04/2025;12M;;2M;0,6;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;460;112003;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-04;Sensible;02010100;;F03;Adultos 1A;43;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000334_210302570500016407;;30/11/2024;1M;;;;30/10/2024;30/09/2033;Yes;Long;26798,38;26798,38;30/09/2008;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;26798,38;;;;;;;;;;;;;No;;4,5089999999999995;0,8999999999999999;31/03/2025;EURIBOR_SWAP;12M;0;;31/03/2025;12M;;2M;0,8999999999999999;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;460;112003;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-03;Sensible;02010100;;F04;Adultos 1B;45;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000340_210346320503862268;;19/12/2024;1M;;;;19/11/2024;19/12/2025;Yes;Long;6631,41;6631,41;19/12/2005;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;6631,41;;;;;;;;;;;;;No;;5,16;1;20/12/2024;EURIBOR_SWAP;12M;0;;20/12/2024;12M;;2M;1;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;460;112003;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2024-12;Sensible;02010100;;F07;Adultos 3;62;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;100039_210306480500007877;;30/11/2024;1M;;;;30/10/2024;28/02/2026;Yes;Long;6082,07;6082,07;30/01/2006;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;6082,07;;;;;;;;;;;;;No;;4,872;0,8500000000000001;31/01/2025;EURIBOR_SWAP;12M;0;;31/01/2025;12M;;2M;0,8500000000000001;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;460;112003;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-01;Sensible;02010100;;F06;Adultos 2B;51;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000404_210322060500000132;;20/12/2024;1M;;;;20/11/2024;20/10/2046;Yes;Long;57740,73;57740,73;20/10/2016;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;57740,73;;;;;;;;;;;;;No;;1,8499999999999999;1,3;21/10/2025;EURIBOR_SWAP;12M;0;;21/10/2025;12M;;2M;1,3;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;430;112019;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-10;Sensible;02010100;;F07;Adultos 3;36;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000416_210378430500357861;;17/12/2024;3M;;;;17/09/2024;17/03/2028;Yes;Long;11288,57;11288,57;17/03/2008;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;11288,57;;;;;;;;;;;;;No;;3,7470000000000003;0;18/03/2025;FO1;12M;0;;18/03/2025;12M;;;0;UG;HIPOTECARIOS SUBROGACIONES;Banca Comercial;VAR;EUR;051;984;112027;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.4;Original;EUR;Activo general;2025-03;Sensible;02010100;;F09;Seniors 2;74;SENIOR;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000473_210371990500019282;;11/12/2024;1M;;;;11/11/2024;11/10/2031;Yes;Long;33300,98;33300,98;11/10/2006;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;33300,98;;;;;;;;;;;;;No;;4,166;1;12/04/2025;EURIBOR_SWAP;12M;0;;12/04/2025;6M;;2M;1;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-04;Sensible;02010100;;F06;Adultos 2B;46;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000504_210322070500153010;;12/12/2024;1M;;;;12/11/2024;12/07/2051;Yes;Long;56669,66;56669,66;12/07/2021;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;56669,66;;;;;;;;;;;;;No;;4,77;1,09;13/07/2025;EURIBOR_SWAP;12M;0;;13/07/2025;12M;;2M;1,09;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;476;112004;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-07;Sensible;02010100;;F07;Adultos 3;30;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000514_210374200500023722;;30/11/2024;1M;;;;30/10/2024;30/09/2046;Yes;Long;54559,58;54559,58;30/09/2016;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;54559,58;;;;;;;;;;;;;No;;4,156;0,9900000000000001;31/03/2025;EURIBOR_SWAP;12M;0;;31/03/2025;6M;;2M;0,9900000000000001;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;412;112001;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-03;Sensible;02010100;;F05;Adultos 2A;32;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;100051_210332580503087329;;02/12/2024;1M;;;;02/11/2024;02/09/2027;Yes;Long;5567,94;5567,94;02/09/2002;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;5567,94;;;;;;;;;;;;;No;;4,821000000000001;1,15;03/03/2025;EURIBOR_SWAP;12M;0;12;03/03/2025;12M;;2M;1,15;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;460;112003;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-03;Sensible;02010200;;F07;Adultos 3;52;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;CAP;;;;
contract;1000529_210372110500045104;;16/12/2024;1M;;;;16/11/2024;16/10/2034;Yes;Long;66590,19;66590,19;16/11/2009;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;66590,19;;;;;;;;;;;;;No;;3,6859999999999995;0,75;17/05/2025;EURIBOR_SWAP;12M;0;;17/05/2025;6M;;2M;0,75;UG;HIPOTECARIOS SUBROGACIONES;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-05;Sensible;02010100;;F05;Adultos 2A;43;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000539_210370720500042123;;22/12/2024;1M;;;;22/11/2024;22/06/2026;Yes;Long;7404,95;7404,95;22/06/2005;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;7404,95;;;;;;;;;;;;;No;;4,353;0,65;23/12/2024;EURIBOR_SWAP;12M;0;;23/12/2024;6M;;2M;0,65;UG;HIPOTECARIOS SUBROGACIONES;Banca Comercial;VAR;EUR;050;460;112003;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2024-12;Sensible;02010100;;F09;Seniors 2;67;SENIOR;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000580_210372300500017169;;21/12/2024;1M;;;;21/11/2024;21/12/2034;Yes;Long;37006,02;37006,02;21/12/2009;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;37006,02;;;;;;;;;;;;;No;;3,7740000000000005;0;22/01/2025;FO2;12M;0;;22/01/2025;12M;;;0;UG;HIPOTECARIOS SUBROGACIONES;Banca Comercial;VAR;EUR;051;984;112027;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.4;Original;EUR;Activo general;2025-01;Sensible;02010100;;F06;Adultos 2B;64;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000583_210329250503262202;;24/12/2024;1M;;;;24/11/2024;24/07/2052;Yes;Long;93625,35;93625,35;24/07/2012;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;93625,35;;;;;;;;;;;;;No;;4,68;1;25/07/2025;EURIBOR_SWAP;12M;0;;25/07/2025;12M;;2M;1;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-07;Sensible;02010100;;F07;Adultos 3;42;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000599_210320250500015798;;02/12/2024;1M;;;;02/11/2024;02/04/2048;Yes;Long;85022,27;85022,27;02/04/2008;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;85022,27;;;;;;;;;;;;;No;;3,916;0,75;03/10/2025;EURIBOR_SWAP;12M;0;;03/10/2025;12M;;2M;0,75;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-10;Sensible;02010100;;F07;Adultos 3;43;ADULTOS_A;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000602_210370960500004880;;18/12/2024;1M;;;;18/11/2024;18/02/2034;Yes;Long;58789,62;58789,62;18/02/2004;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;58789,62;;;;;;;;;;;;;No;;4,329000000000001;0,65;19/02/2025;EURIBOR_SWAP;12M;0;;19/02/2025;12M;;2M;0,65;UG;HIPOTECARIOS COMPRADOR DIRECTO;Banca Comercial;VAR;EUR;050;422;112002;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2025-02;Sensible;02010100;;F07;Adultos 3;54;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
contract;1000610_210303480500022086;;11/12/2024;1M;;;;11/11/2024;11/08/2041;Yes;Long;42661,61;42661,61;11/08/2023;Actual/Actual ISDA;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;42661,61;;;;;;;;;;;;;No;;3;1,7500000000000002;12/08/2026;EURIBOR_SWAP;12M;0;;12/08/2026;12M;;2M;1,7500000000000002;UG;HIPOTECARIOS COMPRADOR DIRECTO MIXTA;Banca Comercial;VAR;EUR;050;450;112062;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.3;Original;EUR;Activo general;2026-08;Sensible;02010200;;F03;Adultos 1A;39;ADULTOS_A;AMORTIZED_COST;;;FIJO;FLOOR;NO;;;;
contract;1000619_210328400514038068;;05/12/2024;1M;;;;05/11/2024;05/05/2026;Yes;Long;7512,66;7512,66;05/05/2006;30E/360;;;;;No Adjustment;EURIBOR_SWAP;;;No;;EUR;Amortized cost;7512,66;;;;;;;;;;;;;No;;3,7350000000000003;0;06/01/2025;FO1;12M;0;;06/01/2025;12M;;;0;UG;HIPOTECARIOS SUBROGACIONES;Banca Comercial;VAR;EUR;051;194;112011;A;04.02.02.01.00 Con garantia hipotecaria;33152000003;02010300;;04;;;;;;160;160;;F;;N;N;A.2.1.4;Original;EUR;Activo general;2025-01;Sensible;02010100;;F06;Adultos 2B;47;ADULTOS_B;AMORTIZED_COST;;;VARIABLE;FLOOR;NO;;;;
